BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,SUBLOCALITY.1,LOCALITY.1,STREET_NAME.1
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,899000,3,1.0,1100.0,529 W 42nd St Apt 2G,"New York, NY 10036","529 W 42nd St Apt 2GNew York, NY 10036",New York,New York County,New York,Manhattan,529,"529 W 42nd St #2g, New York, NY 10036, USA",40.7604194,-73.9968086,,,
Brokered by BESMATCH REAL ESTATE,Multi-family home for sale,715000,4,2.0,2052.0,3935 Monticello Ave,"Bronx, NY 10466","3935 Monticello AveBronx, NY 10466",United States,New York,Bronx County,The Bronx,Monticello Avenue,"3935 Monticello Ave, Bronx, NY 10466, USA",40.8898133,-73.8379299,,,
Brokered by COMPASS,Condo for sale,18500000,4,4.0,4856.0,73 Wooster St # A,"Manhattan, NY 10012","73 Wooster St # AManhattan, NY 10012",United States,New York,New York County,New York,Wooster Street,"73 Wooster St, New York, NY 10012, USA",40.7238868,-74.0021541,,,
Brokered by Corcoran Park Avenue South,Condo for sale,729000,1,1.0,550.0,200 E 58th St Apt 14C,"New York, NY 10022","200 E 58th St Apt 14CNew York, NY 10022",New York,New York County,New York,Manhattan,200,"200 E 58th St #14c, New York, NY 10022, USA",40.7606485,-73.9668928,,,
"Brokered by OneKey MLS LLC - Foxworth Realty, Inc.",Co-op for sale,295500,1,1.0,2184.207862,3015 Riverdale Ave Apt 2A,"New York, NY 10463","3015 Riverdale Ave Apt 2ANew York, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,3015,"3015 Riverdale Ave #2a, Bronx, NY 10463, USA",40.8809305,-73.9107494,,,
Brokered by BHHS New York Properties,Co-op for sale,695000,2,2.0,1800.0,303 E 57th St Apt 29E,"New York, NY 10022","303 E 57th St Apt 29ENew York, NY 10022",New York,New York County,New York,Manhattan,303,"303 E 57th St #29e, New York, NY 10022, USA",40.7595774,-73.964779,,,
"Brokered by Compass Greater New York, LLC",Co-op for sale,329000,1,1.0,750.0,302 96th St Apt 4L,"Brooklyn, NY 11209","302 96th St Apt 4LBrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,302,"302 96th St #4l, Brooklyn, NY 11209, USA",40.61593,-74.0335829,,,
Brokered by Sold By Bart R E Partners Inc,Co-op for sale,279000,2,1.0,2184.207862,84-70 129th St Unit 1V,"Kew Gardens, NY 11415","84-70 129th St Unit 1VKew Gardens, NY 11415",New York,Queens County,Queens,Kew Gardens,8470,"8470 129th St Apt 1h, Kew Gardens, NY 11415, USA",40.7069299,-73.82404,,,
Brokered by Keller Williams NYC,Condo for sale,700000,1,2.0,900.0,138 Edgecombe Avenue Gdn Unit 1A,"New York, NY 10030","138 Edgecombe Avenue Gdn Unit 1ANew York, NY 10030",New York,New York County,New York,Manhattan,138,"138 Edgecombe Ave #1a, New York, NY 10030, USA",40.8211582,-73.9445475,,,
Brokered by Tapestry Real Estate of Queens,House for sale,1225000,4,2.0,1960.0,36-19 217 St,"Bayside, NY 11361","36-19 217 StBayside, NY 11361",United States,New York,Queens County,Queens,217th Street,"36-19 217th St, Flushing, NY 11361, USA",40.7684802,-73.7666662,,,
Brokered by Prime Properties Long Island,Co-op for sale,299000,1,1.0,2184.207862,118-18 Union Tpke Unit 17G,"Kew Gardens, NY 11415","118-18 Union Tpke Unit 17GKew Gardens, NY 11415",New York,Queens County,Queens,Kew Gardens,118-18,"118-18 Union Tpke #17g, Kew Gardens, NY 11415, USA",40.7123992,-73.8339305,,,
Brokered by Weichert Realtors Evolution Group,House for sale,995000,4,2.0,2200.0,43 Sunnyside Ter,"Staten Island, NY 10301","43 Sunnyside TerStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Sunnyside Terrace,"43 Sunnyside Terrace, Staten Island, NY 10301, USA",40.6146934,-74.0996097,,,
Brokered by COMPASS,Co-op for sale,549000,3,1.0,2184.207862,60 E 9th St Apt 214,"Manhattan, NY 10003","60 E 9th St Apt 214Manhattan, NY 10003",New York,New York County,New York,Manhattan,60,"60 E 9th St Apt 214, New York, NY 10003, USA",40.7310966,-73.9926682,,,
Brokered by RAIMONDO RONALD,House for sale,1099000,5,4.0,3500.0,310 Jefferson Blvd,"Staten Island, NY 10312","310 Jefferson BlvdStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Jefferson Boulevard,"310 Jefferson Blvd, Staten Island, NY 10312, USA",40.5457789,-74.1847061,,,
Brokered by COMPASS,Pending,749000,1,1.0,2184.207862,88 Charles St Apt 3D,"Manhattan, NY 10014","88 Charles St Apt 3DManhattan, NY 10014",New York,New York County,New York,Manhattan,88,"88 Charles St #3d, New York, NY 10014, USA",40.7345653,-74.0041732,,,
Brokered by RE MAX Edge,Co-op for sale,285000,1,1.0,900.0,2815 Ocean Pkwy Apt 3F,"Brooklyn, NY 11235","2815 Ocean Pkwy Apt 3FBrooklyn, NY 11235",New York,Kings County,Brooklyn,Brighton Beach,2815,"2815 Ocean Pkwy #3f, Brooklyn, NY 11235, USA",40.5811062,-73.966749,,,
Brokered by LJ Realty Team Inc,Multi-family home for sale,949000,6,3.0,2184.207862,117-37 141st St,"Jamaica, NY 11436","117-37 141st StJamaica, NY 11436",United States,New York,Queens County,Queens,141st Street,"11737 141st St, Jamaica, NY 11436, USA",40.677393,-73.800094,,,
Brokered by EXP Realty,Co-op for sale,365000,2,1.0,2184.207862,83-40 Austin St Unit 3E,"Kew Gardens, NY 11415","83-40 Austin St Unit 3EKew Gardens, NY 11415",New York,Queens County,Queens,Jamaica,83-40,"83-40 Austin St #3e, Jamaica, NY 11415, USA",40.7083799,-73.8290102,,,
Brokered by Charles H. Greenthal Property,Co-op for sale,449000,2,2.0,1549.0,26910 Grand Central Pkwy Apt 22L,"Floral Park, NY 11005","26910 Grand Central Pkwy Apt 22LFloral Park, NY 11005",New York,Queens County,Queens,Glen Oaks,26910,"26910 Grand Central Pkwy #22l, Queens, NY 11005, USA",40.7577991,-73.7159564,,,Brownsville
Brokered by Corcoran East Side,Co-op for sale,3370000,2,2.0,2184.207862,20 E 9th St # 14J,"New York, NY 10003","20 E 9th St # 14JNew York, NY 10003",New York,New York County,New York,Manhattan,20,"20 E 9th St #14j, New York, NY 10003, USA",40.7321377,-73.9947952,,,
Brokered by Ozana Realty Group,House for sale,632000,4,2.0,1496.0,40 Princeton Ln,"Staten Island, NY 10312","40 Princeton LnStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Princeton Lane,"40 Princeton Ln, Staten Island, NY 10312, USA",40.5533858,-74.1974018,,,
Brokered by Tiffany Moves You Inc,House for sale,879000,3,3.0,2184.207862,14-11 111th St,"College Point, NY 11356","14-11 111th StCollege Point, NY 11356",United States,New York,Queens County,Queens,111th Street,"14-11 111th St, Flushing, NY 11356, USA",40.785245,-73.8557,,,
Brokered by RE MAX Elite,Contingent,575000,2,1.0,1200.0,15 Portland Pl,"Staten Island, NY 10301","15 Portland PlStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Portland Place,"15 Portland Pl, Staten Island, NY 10301, USA",40.6337278,-74.0936101,,,
Brokered by R New York,Condo for sale,2300000,3,3.0,1700.0,330 E 38th St Apt 12N,"New York, NY 10016","330 E 38th St Apt 12NNew York, NY 10016",New York,New York County,New York,Manhattan,330,"330 E 38th St #12n, New York, NY 10016, USA",40.7462651,-73.972462,,,
Brokered by Winzone Realty Inc,Co-op for sale,460000,1,1.0,950.0,7423 Ridge Blvd Apt 1D,"Brooklyn, NY 11209","7423 Ridge Blvd Apt 1DBrooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,7423,"7423 Ridge Blvd #1d, Brooklyn, NY 11209, USA",40.6323374,-74.0301041,,,
Brokered by Corcoran West Side,Co-op for sale,462900,3,1.0,2184.207862,159 Madison Ave Apt 7I,"New York, NY 10016","159 Madison Ave Apt 7INew York, NY 10016",New York,New York County,New York,Manhattan,159,"159 Madison Ave #7e, New York, NY 10016, USA",40.746567,-73.9835139,,,
"Brokered by MAXIMILLION REALTY, INC.",Multi-family home for sale,1350000,6,3.0,3000.0,2535 E 24th St,"Brooklyn, NY 11235","2535 E 24th StBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,East 24th Street,"2535 E 24th St, Brooklyn, NY 11235, USA",40.5902653,-73.9455056,,,
Brokered by SLATE REALTY LLC,Co-op for sale,399999,2,1.0,2184.207862,648 Grand St Apt 3F,"Brooklyn, NY 11211","648 Grand St Apt 3FBrooklyn, NY 11211",New York,Kings County,Brooklyn,Southside,648,"648 Grand St #3f, Brooklyn, NY 11206, USA",40.7112984,-73.9463142,,,
Brokered by EXP Realty,Co-op for sale,409000,2,1.0,2184.207862,69-60 108th St Unit 501,"Forest Hills, NY 11375","69-60 108th St Unit 501Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,6960,"6960 108th St Apt 501, Forest Hills, NY 11375, USA",40.7236399,-73.84481,,,
Brokered by ETPG - Eastpointe Properties Group,Condo for sale,1395000,1,1.0,2184.207862,420 W 23rd St Apt 2B,"New York, NY 10011","420 W 23rd St Apt 2BNew York, NY 10011",New York,New York County,New York,Manhattan,420,"420 W 23rd St #2b, New York, NY 10011, USA",40.7467155,-74.0024044,,,
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,2300000,2,2.0,1600.0,242 E 7th St Unit Ph,"New York, NY 10009","242 E 7th St Unit PhNew York, NY 10009",United States,New York,New York County,New York,East 7th Street,"242 E 7th St, New York, NY 10009, USA",40.7236159,-73.9781735,,,
Brokered by 5 Boro Realty Corp,Multi-family home for sale,1299999,8,4.0,3448.0,1210 E 72nd St,"Brooklyn, NY 11234","1210 E 72nd StBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,East 72nd Street,"1210 E 72nd St, Brooklyn, NY 11234, USA",40.6259736,-73.9141206,,,
Brokered by B Square Realty,Condo for sale,555000,1,1.0,649.0,158-15 Union Tpke Unit 411N,"Fresh Meadows, NY 11366","158-15 Union Tpke Unit 411NFresh Meadows, NY 11366",New York,Queens County,Queens,Flushing,15815,"15815 Union Tpke #411n, Flushing, NY 11366, USA",40.7206509,-73.808539,,,
Brokered by Winzone Realty Inc,Multi-family home for sale,1200000,5,2.0,2184.207862,2546 E 29th St,"Brooklyn, NY 11235","2546 E 29th StBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,East 29th Street,"2546 E 29th St, Brooklyn, NY 11235, USA",40.590395,-73.9412863,,,
Brokered by Howard Hanna | Rand Realty,Co-op for sale,149000,1,1.0,750.0,4380 Vireo Ave Apt 6R,"Bronx, NY 10470","4380 Vireo Ave Apt 6RBronx, NY 10470",New York,Bronx County,The Bronx,East Bronx,4380,"4380 Vireo Ave #6r, Bronx, NY 10470, USA",40.9010021,-73.8627053,,,
Brokered by NEUHAUS REALTY INC.,House for sale,675000,3,2.0,1222.0,7 Norwood Ct,"Staten Island, NY 10304","7 Norwood CtStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,Norwood Court,"7 Norwood Ct, Staten Island, NY 10304, USA",40.6277171,-74.0860272,,,
"Brokered by Nest Seekers International, Long Island",Co-op for sale,325000,1,1.0,2184.207862,35-45 81st St Unit E1,"Queens, NY 11372","35-45 81st St Unit E1Queens, NY 11372",New York,Queens County,Queens,Jackson Heights,35-45,"35-45 81st St e1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355,,,Centre Street
Brokered by COMPASS,Co-op for sale,875000,1,1.0,2184.207862,15 W 72nd St Apt 5T,"Manhattan, NY 10023","15 W 72nd St Apt 5TManhattan, NY 10023",New York,New York County,New York,Manhattan,15,"15 W 72nd St #5b, New York, NY 10023, USA",40.7769649,-73.9769247,,,
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,4150000,5,4.0,2184.207862,170 W 76th St # 302/402,"New York, NY 10023","170 W 76th St # 302/402New York, NY 10023",United States,New York,New York County,New York,West 76th Street,"170 W 76th St, New York, NY 10023, USA",40.7807845,-73.979261,,,
Brokered by JM Properties,House for sale,449999,4,3.0,1217.0,46 Elizabeth St,"Staten Island, NY 10310","46 Elizabeth StStaten Island, NY 10310",United States,New York,Richmond County,Staten Island,Elizabeth Street,"46 Elizabeth St, Staten Island, NY 10310, USA",40.6329023,-74.120945,,,
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,425000,3,1.0,2184.207862,513 E 5th St Apt 2A,"New York, NY 10009","513 E 5th St Apt 2ANew York, NY 10009",New York,New York County,New York,Manhattan,513,"513 E 5th St #2a, New York, NY 10009, USA",40.7247015,-73.9835768,,,
Brokered by Brown Harris Stevens - 1926 Broadway,Townhouse for sale,10995000,7,6.0,9000.0,318 W 81st St Unit Townhouse,"Manhattan, NY 10024","318 W 81st St Unit TownhouseManhattan, NY 10024",United States,New York,New York County,New York,West 81st Street,"318 W 81st St, New York, NY 10024, USA",40.7858802,-73.9811894,,,
Brokered by Julia Shildkret Real Estate,Co-op for sale,309000,1,1.0,850.0,66-36 Yellowstone Blvd Unit 14A,"Forest Hills, NY 11375","66-36 Yellowstone Blvd Unit 14AForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,6636,"6636 Yellowstone Blvd Apt 14e, Forest Hills, NY 11375, USA",40.7291499,-73.84944,,,
"Brokered by Compass Greater Ny, Llc",Co-op for sale,549000,3,1.0,1200.0,7002 Ridge Blvd Apt D11,"Brooklyn, NY 11209","7002 Ridge Blvd Apt D11Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,7002,"7002 Ridge Blvd Apt D11, Brooklyn, NY 11209, USA",40.6358323,-74.0291372,,,
Brokered by Remax Edge - RE/MAX EDGE,Townhouse for sale,1450000,4,3.0,2128.0,323 Bainbridge St,"Brooklyn, NY 11233","323 Bainbridge StBrooklyn, NY 11233",United States,New York,Kings County,Brooklyn,Bainbridge Street,"323 Bainbridge St., Brooklyn, NY 11233, USA",40.6820137,-73.9237828,,,
"Brokered by Homes R Us Realty of NY, Inc.",Multi-family home for sale,999998,3,2.3738608579684373,2400.0,327 Brehaut Ave,"Staten Island, NY 10307","327 Brehaut AveStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,Brehaut Avenue,"327 Brehaut Ave, Staten Island, NY 10307, USA",40.5114943,-74.2382685,,,
Brokered by Excellent Realty Llc,Multi-family home for sale,1990000,6,5.0,2100.0,204-16 46 Ave,"Bayside, NY 11361","204-16 46 AveBayside, NY 11361",United States,New York,Queens County,Queens,46th Avenue,"204-16 46th Ave, Bayside, NY 11361, USA",40.7556078,-73.7775019,,,
Brokered by Douglas Elliman - Bayside,Multi-family home for sale,1499000,5,2.0,2280.0,18 Covert St,"Brooklyn, NY 11207","18 Covert StBrooklyn, NY 11207",United States,New York,Kings County,Brooklyn,Covert Street,"18 Covert St., Brooklyn, NY 11207, USA",40.6852121,-73.9131299,,,
Brokered by Jonarbri Realty,House for sale,450000,4,3.0,2184.207862,661 E 228th St,"Bronx, NY 10466","661 E 228th StBronx, NY 10466",United States,New York,Bronx County,The Bronx,East 228th Street,"661 E 228th St, Bronx, NY 10466, USA",40.8904909,-73.8606171,,,
Brokered by Corcoran East Side,Condo for sale,925000,2,1.0,2184.207862,200 Bowery Apt 2C,"New York, NY 10012","200 Bowery Apt 2CNew York, NY 10012",New York,New York County,New York,Manhattan,200,"200 Bowery #2c, New York, NY 10012, USA",40.7213854,-73.9939529,,,
Brokered by COMPASS,Co-op for sale,1495000,3,1.0,2184.207862,349 6th Ave Apt 2,"Brooklyn, NY 11215","349 6th Ave Apt 2Brooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,349,"349 6th Ave Apartment 2, Brooklyn, NY 11215, USA",40.670754,-73.981349,,,
Brokered by MNS,Condo for sale,1695000,2,2.0,1035.0,526 Union Ave Ph 1,"Brooklyn, NY 11211","526 Union Ave Ph 1Brooklyn, NY 11211",New York,Kings County,Brooklyn,Williamsburg,526,"526 Union Ave Ph 1, Brooklyn, NY 11211, USA",40.7163702,-73.9515728,,,
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,5000000,3,3.0,2162.0,71 Park Ave # 10AB,"New York, NY 10016","71 Park Ave # 10ABNew York, NY 10016",New York,New York County,New York,Manhattan,71,"71 Park Ave #10a-B, New York, NY 10016, USA",40.749728,-73.978916,,,
"Brokered by Fillmore Real Estate Fusion Team, INC.",Co-op for sale,990000,1,1.0,850.0,24 W 55th St Ph D,"New York, NY 10019","24 W 55th St Ph DNew York, NY 10019",United States,New York,New York County,New York,West 55th Street,"24 W 55th St, New York, NY 10019, USA",40.7615992,-73.9757944,,,
"Brokered by Compass Greater Ny, Llc",House for sale,1999000,5,4.0,2000.0,34-51 74th St,"Queens, NY 11372","34-51 74th StQueens, NY 11372",United States,New York,Queens County,Queens,74th Street,"34-51 74th Street, Jackson Heights, NY 11372, USA",40.7518706,-73.8922741,,,
Brokered by EXP Realty,Multi-family home for sale,1499999,8,6.0,2184.207862,191 Wyckoff Ave,"Brooklyn, NY 11237","191 Wyckoff AveBrooklyn, NY 11237",United States,New York,Kings County,Brooklyn,Wyckoff Avenue,"191 Wyckoff Ave, Brooklyn, NY 11237, USA",40.7028149,-73.9165356,,,
Brokered by East Point Realty LLC,Multi-family home for sale,940000,9,4.0,2184.207862,146-13 105th Ave,"Jamaica, NY 11435","146-13 105th AveJamaica, NY 11435",United States,New York,Queens County,Queens,105th Avenue,"146-13 105th Ave, Jamaica, NY 11435, USA",40.6946299,-73.8051802,,,
Brokered by The Turner Realty Group Inc,Multi-family home for sale,1500000,8,3.0,3135.0,1601 Nostrand Ave,"Brooklyn, NY 11226","1601 Nostrand AveBrooklyn, NY 11226",United States,New York,Kings County,Brooklyn,Nostrand Avenue,"1601 Nostrand Ave., Brooklyn, NY 11226, USA",40.6471477,-73.9489423,,,
"Brokered by John Edwards Real Estate, Inc.",Co-op for sale,315000,2,1.0,1000.0,3935 Blackstone Ave Apt 1A,"Bronx, NY 10471","3935 Blackstone Ave Apt 1ABronx, NY 10471",New York,Bronx County,The Bronx,Riverdale,3935,"3935 Blackstone Ave #1a, Bronx, NY 10471, USA",40.890384,-73.9117878,,,
Brokered by Ditommaso Real Estate,Pending,769000,3,2.0,1170.0,10 Neal Dow Ave,"Staten Island, NY 10314","10 Neal Dow AveStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Neal Dow Avenue,"10 Neal Dow Ave, Staten Island, NY 10314, USA",40.6222601,-74.1349837,,,
Brokered by Katz Realty,House for sale,1375000,5,4.0,2704.0,19 Bascom Pl,"Staten Island, NY 10314","19 Bascom PlStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Bascom Place,"19 Bascom Pl, Staten Island, NY 10314, USA",40.606711,-74.1447092,,,
Brokered by Brown Harris Stevens,Condo for sale,1250000,2,2.0,1057.0,575 4th Ave Apt 10D,"Brooklyn, NY 11215","575 4th Ave Apt 10DBrooklyn, NY 11215",United States,New York,Kings County,Brooklyn,4th Avenue,"575 4th Ave, Brooklyn, NY 11215, USA",40.6655513,-73.9922171,,,
Brokered by COMPASS,Co-op for sale,580000,1,1.0,2184.207862,305 W 55th St Apt 2A,"Manhattan, NY 10019","305 W 55th St Apt 2AManhattan, NY 10019",New York,New York County,New York,Manhattan,305,"305 W 55th St #2a, New York, NY 10019, USA",40.7657861,-73.9842196,,,
Brokered by Elite Real Estate Group 1 Llc,House for sale,749000,3,2.0,1600.0,1243 Rhinelander Ave,"Bronx, NY 10461","1243 Rhinelander AveBronx, NY 10461",United States,New York,Bronx County,The Bronx,Rhinelander Avenue,"1243 Rhinelander Ave, Bronx, NY 10461, USA",40.8544909,-73.8490394,,,
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,1995000,2,2.0,2184.207862,8 E 83rd St # 8G,"New York, NY 10028","8 E 83rd St # 8GNew York, NY 10028",New York,New York County,New York,Manhattan,8,"8 E 83rd St # 8b, New York, NY 10028, USA",40.7793278,-73.9615999,,,
Brokered by Keller Williams NYC,Townhouse for sale,2850000,4,4.0,4080.0,30-53 35th St,"Queens, NY 11103","30-53 35th StQueens, NY 11103",United States,New York,Queens County,Queens,35th Street,"30-53 35th St, Long Island City, NY 11103, USA",40.7639241,-73.9190583,,,
Brokered by Pride Estates,Co-op for sale,289000,1,1.0,520.0,7401 Shore Rd Apt 2L,"Brooklyn, NY 11209","7401 Shore Rd Apt 2LBrooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,7401,"7401 Shore Rd #2l, Brooklyn, NY 11209, USA",40.6339937,-74.0363466,,,
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,1499000,6,2.0,3144.0,338 77th St,"Brooklyn, NY 11209","338 77th StBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,77th Street,"338 77th St, Brooklyn, NY 11209, USA",40.629498,-74.02725,,,
Brokered by COMPASS,Co-op for sale,900000,2,2.0,2184.207862,2166 Broadway Apt 11F,"Manhattan, NY 10024","2166 Broadway Apt 11FManhattan, NY 10024",New York,New York County,New York,Manhattan,2166,"2166 Broadway Apt 11b, New York, NY 10024, USA",40.7819299,-73.9807097,,,
Brokered by 5 Boro Realty Corp,Multi-family home for sale,1399000,8,6.0,3448.0,1238 E 72nd St,"Brooklyn, NY 11234","1238 E 72nd StBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,East 72nd Street,"1238 E 72nd St, Brooklyn, NY 11234, USA",40.6255774,-73.913355,,,
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Condo for sale,359999,3,2.0,2184.207862,753B Saint Anns Ave Unit 52B,"Bronx, NY 10456","753B Saint Anns Ave Unit 52BBronx, NY 10456",New York,Bronx County,The Bronx,Woodstock,753B,"753B St Ann's Ave #52B, Bronx, NY 10456, USA",40.8203804,-73.9109368,,,
Brokered by THE BOX ADVISORY LLC,Condo for sale,625000,4,2.0,1268.0,762 Empire Blvd Apt 4D,"Brooklyn, NY 11213","762 Empire Blvd Apt 4DBrooklyn, NY 11213",New York,Kings County,Brooklyn,Little Caribbean,762,"762 Empire Blvd #4d, Brooklyn, NY 11213, USA",40.6634769,-73.936924,,,
Brokered by Corcoran SoHo,Co-op for sale,3345000,4,4.0,3000.0,151 W 86th St Apt 3D,"New York, NY 10024","151 W 86th St Apt 3DNew York, NY 10024",New York,New York County,New York,Manhattan,151,"151 W 86th St #3d, New York, NY 10024, USA",40.7875112,-73.9739349,,,
Brokered by Brown Harris Stevens - 100 Seventh Avenue,Townhouse for sale,3500000,7,4.0,2184.207862,2115 Fifth Ave Unit Townhouse,"Manhattan, NY 10035","2115 Fifth Ave Unit TownhouseManhattan, NY 10035",United States,New York,New York County,New York,5th Avenue,"2115 5th Ave, New York, NY 10035, USA",40.8092578,-73.9398282,,,
Brokered by Brown Harris Stevens,Co-op for sale,280000,1,1.0,1000.0,8015 6th Ave Apt A1,"Brooklyn, NY 11209","8015 6th Ave Apt A1Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,8015,"8015 6th Ave Apt A1, Brooklyn, NY 11209, USA",40.6241766,-74.0216837,,,Coney Island
Brokered by Charles H. Greenthal Property,Co-op for sale,489000,2,2.0,1549.0,26910 Grand Central Pkwy Apt 27G,"Floral Park, NY 11005","26910 Grand Central Pkwy Apt 27GFloral Park, NY 11005",New York,Queens County,Queens,Glen Oaks,26910,"26910 Grand Central Pkwy #27g, Queens, NY 11005, USA",40.7577991,-73.7159564,,,
Brokered by Eden7 Realty Inc,Co-op for sale,699999,3,2.0,2184.207862,1040 Carroll St Unit 6B,"Crown Heights, NY 11213","1040 Carroll St Unit 6BCrown Heights, NY 11213",New York,Kings County,Brooklyn,Crown Heights,1040,"1040 Carroll St Apartment 6e, Brooklyn, NY 11225, USA",40.6672186,-73.9566539,,,
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,65000000,3,2.3738608579684373,15200.0,4 E 79th St,"New York, NY 10075","4 E 79th StNew York, NY 10075",United States,New York,New York County,New York,East 79th Street,"4 E 79th St, New York, NY 10075, USA",40.7765613,-73.9633167,,,Gerritsen Beach
Brokered by True Homes Inc,Multi-family home for sale,1300000,6,3.0,2184.207862,1309 E 56th St,"Brooklyn, NY 11234","1309 E 56th StBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,East 56th Street,"1309 E 56th St, Brooklyn, NY 11234, USA",40.6236835,-73.9213087,,,
Brokered by Exp Realty,Multi-family home for sale,999000,9,3.0,3168.0,1670 Nelson Ave,"Bronx, NY 10453","1670 Nelson AveBronx, NY 10453",United States,New York,Bronx County,The Bronx,Nelson Avenue,"1670 Nelson Ave, Bronx, NY 10453, USA",40.8474641,-73.9177608,,,
Brokered by Winzone Realty Inc,Co-op for sale,219000,1,1.0,2184.207862,68-05 138 St Unit 3B,"Kew Gardens Hills, NY 11367","68-05 138 St Unit 3BKew Gardens Hills, NY 11367",New York,Queens County,Queens,Flushing,68-5,"68-5 138th St #3b, Flushing, NY 11367, USA",40.7315119,-73.8286528,,,
